n,classic(ms),cirilo(ms)
288700,103.456000,55.071000
288800,104.031000,54.573000
288900,100.590000,53.572000
289000,100.461000,55.004000
289100,103.601000,54.491000
289200,100.348000,53.314000
289300,100.500000,53.910000
289400,103.288000,55.569000
289500,106.199000,64.188000
289600,117.064000,61.017000
289700,130.116000,64.448000
289800,127.339000,69.752000
289900,132.418000,76.599000
290000,140.749000,73.335000
290100,134.812000,71.761000
290200,135.820000,75.295000
290300,133.281000,68.373000
290400,129.971000,76.419000
290500,136.918000,76.987000
290600,144.799000,95.831000
290700,175.050000,85.569000
290800,170.655000,111.242000
290900,182.467000,92.376000
291000,186.289000,106.412000
291100,205.813000,95.974000
291200,175.854000,86.628000
291300,165.355000,86.875000
291400,163.801000,87.308000
291500,151.623000,82.170000
291600,150.392000,77.027000
291700,143.575000,76.426000
291800,149.133000,80.266000
291900,158.776000,91.085000
292000,151.116000,79.908000
292100,147.884000,76.430000
292200,145.520000,76.670000
292300,143.456000,71.676000
292400,128.833000,66.018000
292500,120.294000,66.344000
292600,123.093000,62.228000
292700,124.108000,65.124000
292800,118.866000,65.234000
292900,132.538000,65.463000
293000,120.687000,64.697000
293100,121.120000,62.853000
293200,119.251000,62.509000
293300,114.431000,61.751000
293400,115.435000,60.136000
293500,109.241000,57.853000
293600,109.443000,57.742000
293700,106.312000,57.768000
293800,113.108000,59.924000
293900,111.743000,62.509000
294000,120.371000,62.108000
294100,115.049000,59.868000
294200,110.682000,58.629000
294300,117.509000,62.696000
294400,117.948000,60.650000
294500,115.243000,60.822000
294600,115.040000,60.643000
294700,112.035000,57.980000
294800,109.317000,58.422000
294900,106.839000,55.959000
295000,106.273000,55.688000
295100,106.281000,57.162000
295200,116.050000,60.562000
295300,113.366000,58.281000
295400,109.682000,58.421000
295500,107.825000,56.243000
295600,105.841000,56.077000
295700,105.817000,56.657000
295800,108.880000,60.527000
295900,118.965000,65.936000
296000,128.491000,63.593000
296100,118.474000,64.995000
296200,132.690000,68.147000
296300,123.129000,63.248000
296400,117.554000,66.501000
296500,120.621000,64.064000
296600,118.014000,60.402000
296700,115.959000,61.372000
296800,115.498000,61.470000
296900,111.041000,58.752000
297000,111.029000,58.154000
297100,110.124000,58.546000
297200,110.357000,58.549000
297300,108.780000,56.478000
297400,106.649000,56.581000
297500,107.027000,56.922000
297600,106.803000,56.615000
297700,107.010000,56.693000
297800,106.676000,56.602000
297900,110.358000,58.511000
298000,111.489000,68.896000
298100,120.350000,61.858000
298200,115.530000,61.356000
298300,112.363000,59.824000
298400,111.971000,59.564000
298500,110.867000,58.591000
298600,110.076000,67.171000
298700,138.891000,78.396000
298800,143.715000,73.029000
298900,135.619000,73.561000
299000,142.156000,75.157000
299100,135.348000,68.112000
299200,127.659000,67.882000
299300,131.498000,67.332000
299400,126.054000,64.435000
299500,122.041000,63.785000
299600,118.714000,62.402000
299700,115.410000,61.494000
299800,123.152000,63.336000
299900,115.805000,61.107000
300000,111.750000,59.233000
300100,112.266000,58.776000
300200,111.269000,57.858000
300300,108.265000,57.410000
300400,107.895000,57.263000
300500,107.886000,57.406000
300600,107.182000,58.023000
300700,109.603000,57.523000
300800,117.636000,61.498000
300900,123.295000,65.762000
301000,122.224000,63.723000
301100,125.679000,63.336000
301200,118.594000,61.462000
301300,114.044000,61.345000
301400,112.918000,59.417000
301500,116.689000,64.764000
301600,117.936000,61.571000
301700,118.973000,63.871000
301800,116.171000,60.995000
301900,119.560000,65.045000
302000,125.038000,66.670000
302100,125.672000,65.549000
302200,123.415000,66.197000
302300,120.866000,65.739000
302400,124.976000,70.112000
302500,138.600000,78.248000
302600,131.497000,70.564000
302700,128.554000,66.531000
302800,120.656000,62.298000
302900,116.631000,59.873000
303000,114.679000,59.807000
303100,115.600000,61.935000
303200,122.302000,63.339000
303300,126.632000,70.439000
303400,144.072000,82.468000
303500,170.721000,110.431000
303600,171.552000,89.624000
303700,177.865000,87.711000
303800,159.078000,80.419000
303900,142.991000,72.269000
304000,129.269000,66.766000
304100,121.439000,63.588000
304200,117.942000,62.310000
304300,113.021000,60.325000
304400,113.326000,60.534000
304500,114.073000,58.298000
304600,109.460000,58.225000
304700,110.297000,58.159000
304800,112.746000,60.527000
304900,113.569000,60.082000
305000,111.466000,58.022000
305100,110.600000,58.823000
305200,110.606000,58.090000
305300,109.652000,58.561000
305400,109.406000,58.423000
305500,109.816000,58.522000
305600,109.672000,57.797000
305700,106.123000,56.306000
305800,106.757000,56.510000
305900,110.470000,58.405000
306000,114.184000,62.709000
306100,136.377000,95.488000
306200,200.510000,117.802000
306300,243.929000,141.775000
306400,254.335000,131.152000
306500,229.470000,141.372000
306600,195.113000,94.932000
306700,176.126000,93.741000
306800,166.266000,84.807000
306900,159.318000,85.007000
307000,167.209000,94.614000
307100,190.020000,102.336000
307200,212.989000,118.131000
307300,219.810000,125.834000
307400,193.928000,104.086000
307500,211.133000,100.750000
307600,204.253000,93.407000
307700,164.251000,84.482000
307800,158.148000,87.592000
307900,153.457000,84.883000
308000,172.572000,94.836000
308100,186.080000,100.824000
308200,189.199000,107.665000
308300,196.928000,100.751000
308400,172.614000,89.774000
308500,160.254000,73.895000
308600,137.312000,70.573000
308700,128.170000,69.006000
308800,123.395000,64.741000
308900,118.927000,63.024000
309000,120.406000,62.792000
309100,115.015000,60.960000
309200,115.086000,62.664000
309300,115.880000,60.602000
309400,115.209000,61.797000
309500,121.952000,66.655000
309600,132.903000,67.952000
309700,123.777000,74.607000
309800,125.899000,65.721000
309900,141.712000,82.290000
310000,144.020000,74.148000
310100,177.993000,112.347000
310200,195.291000,96.828000
310300,184.726000,95.726000
310400,164.812000,87.825000
310500,181.040000,89.258000
310600,161.988000,87.064000
310700,163.214000,86.915000
310800,159.724000,94.343000
310900,156.877000,78.458000
311000,146.126000,73.315000
311100,132.231000,70.358000
311200,124.190000,63.783000
311300,119.633000,60.867000
311400,116.158000,61.434000
311500,112.681000,59.362000
311600,113.168000,60.228000
311700,111.779000,59.355000
311800,111.847000,57.556000
311900,109.545000,73.648000
312000,117.375000,61.650000
312100,117.154000,63.879000
312200,118.217000,61.945000
312300,116.905000,62.042000
312400,118.436000,59.430000
312500,112.565000,59.711000
312600,126.916000,65.128000
312700,122.115000,64.216000
312800,117.931000,61.818000
312900,117.435000,61.670000
313000,116.572000,60.148000
313100,112.688000,60.356000
313200,112.675000,59.465000
313300,112.458000,59.855000
313400,110.930000,57.657000
313500,108.872000,57.836000
313600,108.954000,57.823000
